LocationID,WarehouseID,RackNo
L001,W001,A1
L002,W002,A2
L003,W003,A3
L004,W004,A4
L005,W005,A5
L006,W006,B1
L007,W007,B2
L008,W008,B3
L009,W009,B4
L010,W010,B5
L011,W011,C1
L012,W012,C2
L013,W013,C3
L014,W014,C4
L015,W015,C5
L016,W016,D1
L017,W017,D2
L018,W018,D3
L019,W019,D4
L020,W020,D5
L021,W021,E1
L022,W022,E2
L023,W023,E3
L024,W024,E4
L025,W025,E5
L026,W026,F1
L027,W027,F2
L028,W028,F3
L029,W029,F4
L030,W030,F5
L031,W031,G1
L032,W032,G2
L033,W033,G3
L034,W034,G4
L035,W035,G5
L036,W036,H1
L037,W037,H2
L038,W038,H3
L039,W039,H4
L040,W040,H5
L041,W041,I1
L042,W042,I2
L043,W043,I3
L044,W044,I4
L045,W045,I5
L046,W046,J1
L047,W047,J2
L048,W048,J3
L049,W049,J4
L050,W050,J5
