SOID,CustomerID,OrderDate
SO001,CU001,2026-05-04
SO002,CU002,2025-06-12
SO003,CU003,2026-11-16
SO004,CU004,2026-12-21
SO005,CU005,2026-10-23
SO006,CU006,2026-01-30
SO007,CU007,2025-02-25
SO008,CU008,2026-11-20
SO009,CU009,2025-06-16
SO010,CU010,2026-10-07
SO011,CU011,2025-07-14
SO012,CU012,2025-06-01
SO013,CU013,2026-07-12
SO014,CU014,2025-02-24
SO015,CU015,2025-11-28
SO016,CU016,2026-04-24
SO017,CU017,2025-06-08
SO018,CU018,2026-08-13
SO019,CU019,2025-08-12
SO020,CU020,2026-10-06
SO021,CU021,2026-09-04
SO022,CU022,2026-03-29
SO023,CU023,2025-01-27
SO024,CU024,2025-06-11
SO025,CU025,2026-10-28
SO026,CU026,2025-07-10
SO027,CU027,2026-04-29
SO028,CU028,2026-01-29
SO029,CU029,2025-01-06
SO030,CU030,2025-10-15
SO031,CU031,2026-07-10
SO032,CU032,2026-12-15
SO033,CU033,2025-04-12
SO034,CU034,2025-01-07
SO035,CU035,2025-08-02
SO036,CU036,2025-06-28
SO037,CU037,2026-11-06
SO038,CU038,2025-04-24
SO039,CU039,2025-05-09
SO040,CU040,2025-04-16
SO041,CU041,2026-06-19
SO042,CU042,2025-01-24
SO043,CU043,2025-08-25
SO044,CU044,2026-11-07
SO045,CU045,2026-03-29
SO046,CU046,2025-02-10
SO047,CU047,2026-02-09
SO048,CU048,2026-10-29
SO049,CU049,2026-08-14
SO050,CU050,2026-12-27
